泰文	舊拼音(Sheet)	中文	課次	無法處理的音節
เมื่อวานผมกินน้ําส้มคั้นหลายขวด	muea wan phom kin nam som khan lai khuad	昨天我喝了好幾瓶現榨橘子汁	初 3-7	ขวด
องุ่น	ongun	葡萄	初 3-7	องุ่น
คุณชอบกินองุ่นสีอะไร	khun chop kin ongun si arai	你喜歡吃什麼顏色的葡萄？	初 3-7	องุ่น
ฝรั่ง	farang	芭樂/番石榴	初 3-7	ฝรั่ง
ฝรั่งกิโลละเท่าไหร่	farang kilo la thao rai	芭樂一公斤多少錢？	初 3-7	ฝรั่ง
ฝรั่ง	farang	外國人	初 3-7	ฝรั่ง
ฝรั่งชอบไปเที่ยววัดพระแก้ว	farang chop pai thiao wat phra kae-o	外國人喜歡去玉佛寺觀光	初 3-7	ฝรั่ง
ชมพู่	chomphu	蓮霧	初 3-7	ชม
ชมพู่สีเขียวหวานกว่า	chomphu si khiao wan kwa	綠色蓮霧比較甜	初 3-7	ชม
ทุกปีทุเรียนไทยส่งออกประมาณแสนล้านบาท	thuk pi thurian thai song ok praman saen lan baht	每年泰國榴槤出口約十億泰銖。	初 3-7	ส่ง
ขนุน	khanun	波羅蜜	初 3-7	ขนุน
ภาคใต้ของไต้หวันก็มีขนุน	phak tai khong taiwan ko mi khanun	臺灣南部也有波羅蜜。	初 3-7	ขนุน
เงาะ	ngo	紅毛丹	初 3-7	เงาะ
เสียดายไต้หวันไม่มีเงาะขาย	sia dai taiwan mai mi ngo khai	可惜臺灣沒有紅毛丹販售。	初 3-7	เงาะ
แก้วมังกร	kaeo mangkon	火龍果	初 3-7	กร
เขาเกิดปีมังกร	khao koet pi mangkon	他是屬龍的	初 3-7	กร
กุ้งมังกรตัวใหญ่แพงไหม	kung mangkon tua yai phaeng mai	大隻龍蝦貴嗎？	初 3-7	กร
ขนุนอบแห้ง	khanun op haeng	波羅蜜乾	初 3-7	ขนุน
มะม่วงอบแห้ง	mamuang op haeng	芒果乾	初 3-7	ม่วง
ถนนสายนี้	thanon sai ni	這條馬路	初 3-7	ถนน
ถนนสายนี้ยาวมาก	thanon sai ni yao mak	這條馬路很長	初 3-7	ถนน
ต้นไม้	ton mai	樹	初 3-7	ต้น
ต้นไม้	ton mai	樹木	初 3-7	ต้น
สองข้างทางมีต้นไม้เยอะ	song khang thang mi ton mai yoe	兩邊有很多樹	初 3-7	ต้น
วันลอยกระทง	wan loi krathong	水燈節	初 3-7	ทง
กระทง	krathong	水燈	初 3-7	ทง
ใช้ใบตองทำกระทง	chai bai tong tham krathong	使用香蕉葉做水燈	初 3-7	ทง
เปลือกสับปะรด	plueak sapparot	鳳梨皮	初 3-7	รด
ต้นมะพร้าว	ton maphrao	椰子樹	初 3-7	ต้น
ต้นมะม่วง	ton mamuang	芒果樹	初 3-7	ต้น, ม่วง
ต้นมะละกอ	ton malako	木瓜樹	初 3-7	ต้น
ต้นกล้วย	ton kluai	香蕉樹	初 3-7	ต้น
ต้นนี้ต้นอะไร	ton ni ton arai	這是什麼樹	初 3-7	ต้น
สังขยาใบเตย	sangkaya bai toei	香蘭葉醬	初 3-7	ขยา
ปลูกต้นไม้	pluk ton mai	種樹	初 3-7	ต้น
เมล็ดแตงโม	malet taeng mo	西瓜籽	初 3-7	เมล็ด
เมล็ดองุ่น	malet ongun	葡萄籽	初 3-7	องุ่น, เมล็ด
ไม่มีเมล็ด	mai mi malet	沒有籽	初 3-7	เมล็ด
เมล็ดกาแฟ	malet kafae	咖啡豆	初 3-7	เมล็ด
มะม่วงปั่น	mamuang pan	芒果冰沙	初 3-7	ม่วง
สับปะรดปั่น	sapparot pan	鳳梨冰沙	初 3-7	รด
ทั้งหมด	thang mot	全部	初 3-7	หมด
มีสวนลำไย	mi suan lamyai	有龍眼園	初 3-7	สวน
สวน	suan	果園/菜園	初 3-7	สวน
มีสวนลำไยเยอะ	mi suan lamyai yoe	有很多龍眼園	初 3-7	สวน
มีสวนลิ้นจี่เยอะ	mi suan linji yoe	有很多荔枝園	初 3-7	สวน
เกาะ	ko	龜	初 3-7	เกาะ
เกาะสมุย	ko samui	蘇美島	初 3-7	สมุย, เกาะ
เกาะสมุยอยู่ภาคใต้	ko samui yu phak tai	蘇美島位於南部	初 3-7	สมุย, เกาะ
สี่จังหวัดภาคใต้มีมุสลิมเยอะ	si changwat phak tai mi muslim yoe	南部有四個府有很多穆斯林	初 3-7	สลิม
มุสลิม	muslim	穆斯林	初 3-7	สลิม
จังหวัดสงขลา	changwat songkhla	宋卡府	初 3-7	สง
อยุธยา	ayutthaya	大城	初 3-7	ธยา, อยุ
อยุธยาอยู่ภาคกลาง	ayutthaya yu phak klang	大城位於中部	初 3-7	ธยา, อยุ
เกาะช้าง	ko chang	象島	初 3-7	เกาะ
ชลบุรี	chonburi	春武里府	初 3-7	ชล
ส่วนใหญ่	suan yai	大部分	初 3-7	ส่วน
คนไทยส่วนใหญ่	khon thai suan yai	泰國人大部分	初 3-7	ส่วน
ชาวพุทธ	chao phut	佛教徒	初 3-7	พุทธ
คนไทยส่วนใหญ่เป็นชาวพุทธ	khon thai suan yai pen chao phut	泰國人大部分是佛教徒	初 3-7	พุทธ, ส่วน
ส่วนใหญ่ทำอะไร	suan yai tham arai	大部分做什麼	初 3-7	ส่วน
ส่วนใหญ่ไปไหน	suan yai pai nai	大部分要去哪裡	初 3-7	ส่วน
ทำงานบริษัทเดียวกัน	thamngan borisat diaokan	在同一家公司工作	初 3-7	บริ
ในตู้เย็นมีน้ำสองขวด	nai dtoo yen mee naam sawng kuat	冰箱裡有兩瓶水	初 3-8	ขวด
ร้านนวดอยู่ข้างๆ เซเว่น	raan nuat yoo kaang kaang say wen	按摩店在 7-11 旁邊	初 3-8	นวด
ในตู้เย็นมีน้ำสองขวด	nai dtoo yen mee naam sawng kuat	冰箱裡有兩瓶水	初 3-8	ขวด
ร้านนวดอยู่ข้างๆ เซเว่น	raan nuat yoo kaang kaang say wen	按摩店在 7-11 旁邊	初 3-8	นวด
กรุงเทพฯ อยู่ภาคกลาง	groong tep yoo paak glaang	曼谷在中部	初 3-8	ฯ
ภาคกลางมีทั้งหมด 21 จังหวัด	paak glaang mee tang mot yee sip et jang wat	中部總共有 21 個府	初 3-8	หมด
คนอีสานส่วนใหญ่ชอบกินข้าวเหนียว	kon ee saan suan yai chawp gin kaao niao	大部分東北部人喜歡吃糯米飯	初 3-8	ส่วน
เดินข้ามถนน	dern kaam ta noon	走過馬路	初 3-8	ถนน
ช่วยกดชั้น 17 ให้หน่อยค่ะ	chuay got chan sip bjet hai noy ka	請幫我按 17 樓	初 3-8	กด
วันจันทร์	wan jan	星期一	初 3-8	จันทร์
วันพฤหัสบดี	wan pa reu hat sa bor dee	星期四（正式）	初 3-8	บดี, พฤ
วันพฤหัส	wan pa reu hat	星期四（口語）	初 3-8	พฤ
ฝนหยุดแล้ว	fon yoot laeo	雨停了	初 3-8	ฝน
วันฝนตกไม่มีแท็กซี่ว่าง	wan fon dtok mai mee taek see waang	下雨天沒有空計程車	初 3-8	ฝน
วันจันทร์หน้าคุณว่างไหม	wan jan na koon waang mai	下週一你有空嗎	初 3-8	จันทร์
ชาติหน้าอยากเป็นหมา	chaat na yaak bpen maa	下輩子想當狗	初 3-8	ชาติ
วันศุกร์ที่แล้วเป็นวันลอยกระทง	wan soo tee laeo bpen wan loy gra tong	上個週五是水燈節	初 3-8	ทง
เมื่อวานฝนตก	meua waan fon dtok	昨天下雨	初 3-8	ฝน
ตอนกลางวันอยู่บริษัท	dtawn glaang wan yoo baw ri sat	白天在公司	初 3-8	บริ
จะกินผลไม้ปั่นทุกเช้า	ja gin pon la mai bpan took chao	每個早上都要喝水果冰沙	初 3-8	ผล
ถนนทุกสาย รถติด	ta noon took sai rot dtit	每條路都塞車	初 3-8	ถนน
บางครั้งฝนตก	baang krang fon dtok	有時候下雨	初 3-8	ฝน
吃อะไรบ้าง	gin arai baang	吃了些什麼	初 3-8	吃
做อะไรบ้าง	tam arai baang	做了些什麼	初 3-8	做
กินเบียร์หลายขวดก็ไม่เมา	gin bia laai kuat gor mai mao	喝好幾瓶啤酒也不會醉	初 3-8	ขวด
กินข้าวหลายจานแต่ไม่อ้วน	gin kaao laai jaan dtae mai uan	吃好幾盤飯但不會胖	初 3-8	อ้วน
คิดถึงจริงๆ	kit teung jing jing	真的很想你	初 3-8	จริง, ๆ
在ห้องเรียน	nai hong rian	教室內	初 3-總複習	在
เดินตรงไป 100 เมตร	dern trong pai nueng roi met	直走一百公尺	初 3-總複習	เมตร
ข้างนอกฝนตก	khang nok fon tok	外面下雨	初 3-總複習	ฝน
ข้ามถนน	kham tanon	過馬路	初 3-總複習	ถนน
เซเว่นอยู่ตรงข้ามสตาร์บัคส์	Seven yu trong kham Starbucks	7-11在星巴克對面	初 3-總複習	สตาร์
ถนนคนเดิน	tanon khon dern	徒步區 (夜市)	初 3-總複習	ถนน
在นามีข้าว	nai na mee khao	田中有稻	初 3-總複習	在
เดินตรงไป เลี้ยวซ้าย แล้วก็ตรงไป ประมาณ 50 เมตร แล้วก็เลี้ยวซ้ายอีกครั้งหนึ่ง แล้วก็เจอแล้ว	dern trong pai liao sai lae ko trong pai praman ha sip met lae ko liao sai eek khrang nueng lae ko joe laeo	直走左轉再直走約50米再左轉就到了	初 3-總複習	เมตร
ภาษาฝรั่งเศส	pasa farangset	法文	初 3-總複習	ฝรั่ง
วันจันทร์	wan jan	星期一	初 3-總複習	จันทร์
วันพฤหัสบดี	wan phruehat	星期四	初 3-總複習	บดี, พฤ
วันนี้วันจันทร์	wan nee wan jan	今天星期一	初 3-總複習	จันทร์
มกราคม	mokkara	一月	初 3-總複習	คม, มก
มีนาคม	meena	三月	初 3-總複習	คม
เมษายน	mesa	四月	初 3-總複習	ยน
พฤษภาคม	phrueasapha	五月	初 3-總複習	คม, พฤษ
มิถุนายน	mithuna	六月	初 3-總複習	ยน
กรกฎาคม	karakada	七月	初 3-總複習	กรก, คม
สิงหาคม	singha	八月	初 3-總複習	คม
กันยายน	kanya	九月	初 3-總複習	ยน
ตุลาคม	tula	十月	初 3-總複習	คม
พฤศจิกายน	phrueasajika	十一月	初 3-總複習	พฤศ, ยน
ธันวาคม	thanwa	十二月	初 3-總複習	คม
เดือนนี้เดือนธันวาคม	duen nee duen thanwa	這個月是十二月	初 3-總複習	คม
เดือนที่แล้วเดือนพฤศจิกายน	duen thi laeo duen phrueasajika	上個月是十一月	初 3-總複習	พฤศ, ยน
เดือนหน้าเดือนมกราคม	duen na duen mokkara	下個月是一月	初 3-總複習	คม, มก
ถ้าเดือนนี้เดือนเมษายน	tha duen nee duen mesa	如果這個月是四月	初 3-總複習	ยน
สวัสดีปีใหม่	sawatdee pee mai	新年快樂	初 3-總複習	สวัส
สวัสดีปีใหม่ไทย	sawatdee pee mai Thai	泰國新年快樂（宋干節）	初 3-總複習	สวัส
วันจันทร์นี้	wan jan nee	這個星期一	初 3-總複習	จันทร์
วันจันทร์ที่แล้ว	wan jan thi laeo	上個星期一	初 3-總複習	จันทร์
วันจันทร์หน้า	wan jan na	下個星期一	初 3-總複習	จันทร์
ชาตินี้	chat nee	這一輩子	初 3-總複習	ชาติ
ชาติที่แล้ว	chat thi laeo	前世	初 3-總複習	ชาติ
ชาติหน้า	chat na	下一輩子	初 3-總複習	ชาติ
ต้นเดือน	ton duen	月初	初 3-總複習	ต้น
ต้นปี	ton pee	年初	初 3-總複習	ต้น
ต้นปีหน้า	ton pee na	明年初	初 3-總複習	ต้น
ต้นทาง	ton thang	起點	初 3-總複習	ต้น
มาเรียนภาษาไทยทุกๆ วันจันทร์	ma rian pasa Thai thuk thuk wan jan	每個禮拜一都來學泰文	初 3-總複習	จันทร์
ลม	lom	風	初 3-總複習	ลม
ลมแรง	lom raeng	風很大	初 3-總複習	ลม
ทั้งหมด	thang mot	全部	初 3-總複習	หมด
ครึ่งขวด	khrueng khuat	半瓶	初 3-總複習	ขวด
ผลไม้	phonlamai	水果	初 3-總複習	ผล
มะพร้าวที่เมืองไทยหวานกว่าที่ไต้หวัน	maphrao thi mueang Thai wan kwa thi Taiwan	泰國椰子比台灣椰子甜	初 3-總複習	นก
มะม่วง	mamuang	芒果	初 3-總複習	ม่วง
ข้าวเหนียวมะม่วง	khao niao mamuang	芒果糯米飯	初 3-總複習	ม่วง
มะม่วงเบา	mamuang bao	酸芒果	初 3-總複習	ม่วง
สับปะรด	sapparot	鳳梨	初 3-總複習	รด
องุ่น	angun	葡萄	初 3-總複習	องุ่น
ฝรั่ง	farang	芭樂/洋人	初 3-總複習	ฝรั่ง
ฝรั่งกินฝรั่ง	farang kin farang	洋人吃芭樂	初 3-總複習	ฝรั่ง
ชมพู่	chomphu	蓮霧	初 3-總複習	ชม
สีชมพู่	si chomphu	粉紅色	初 3-總複習	ชม
ขนุน	khanun	波羅蜜	初 3-總複習	ขนุน
เงาะ	ngo	紅毛丹	初 3-總複習	เงาะ
มังกร	mangkon	龍果	初 3-總複習	กร
แก้วมังกร	kaeo mangkon	火龍果	初 3-總複習	กร
สตรอว์เบอร์รี่	strawberry	草莓	初 3-總複習	สต
เงาะกระป๋อง	ngo krapong	罐頭紅毛丹	初 3-總複習	เงาะ
ต้นไม้	tonmai	樹	初 3-總複習	ต้น
สวน	suan	果園	初 3-總複習	สวน
สวนลำไย สวนลิ้นจี่	suan lamyai suan linjee	龍眼園/荔枝園	初 3-總複習	สวน
สวนทุเรียน	suan thurian	榴槤園	初 3-總複習	สวน
สวนดอกไม้	suan dokmai	花園	初 3-總複習	สวน
สวนน้ำ	suan nam	水上樂園	初 3-總複習	สวน
สวนสนุก	suan sanuk	遊樂園	初 3-總複習	สวน
ภูเก็ต พังงา เกาะสมุย	Phuket Phang-nga Ko Samui	普吉島/攀牙/蘇美島	初 3-總複習	สมุย, เกาะ
เกาะ	ko	島	初 3-總複習	เกาะ
เกาะไต้หวัน	ko Taiwan	台灣島	初 3-總複習	เกาะ
เกาะเสม็ด เกาะช้าง	ko Samet ko Chang	沙美島/象島	初 3-總複習	เกาะ, เสม็ด
ชาวมุสลิม	chao Muslim	穆斯林	初 3-總複習	สลิม
ชาวพุทธ	chao phut	佛教徒	初 3-總複習	พุทธ
อยุธยา	Ayutthaya	大城	初 3-總複習	ธยา, อยุ
ฉันชอบกินผลไม้นะ ทั้งมังคุด ลำไย ทุเรียน และมะละกอ	chan chop kin phonlamai na thang mangkhut lamyai thurian lae malako	喜歡吃水果，有山竹、龍眼、榴槤和木瓜	初 3-總複習	ผล
ฉันพูดได้ทั้งภาษาจีน ภาษาไทย และภาษาอังกฤษ	chan phut dai thang pasa jin pasa Thai lae pasa angkrit	我能說中文、泰文和英文	初 3-總複習	กฤษ
คนไทยส่วนใหญ่เป็นชาวพุทธ	khon Thai suan yai pen chao phut	泰國人大部分是佛教徒	初 3-總複習	พุทธ, ส่วน
ชาวพุทธ	chao phut	佛教徒	初 3-總複習	พุทธ
ส่วนใหญ่	suan yai	大部分	初 3-總複習	ส่วน
อาหารไทยส่วนใหญ่เผ็ดมาก	ahan Thai suan yai phet mak	泰國菜大部分很辣	初 3-總複習	ส่วน
ผลไม้ไต้หวันส่วนใหญ่หวานมาก	phonlamai Taiwan suan yai wan mak	台灣水果大部分很甜	初 3-總複習	ผล, ส่วน
คนไต้หวันส่วนใหญ่ไม่กินเผ็ด	khon Taiwan suan yai mai kin phet	台灣人大部分不吃辣	初 3-總複習	ส่วน
ทำงานบริษัทเดียวกัน	tham ngan borisat diao kan	在同一家公司工作	初 3-總複習	บริ
ปลูกต้นไม้	pluk ton mai	種樹	初 3-總複習	ต้น
เม็ดองุ่น	met angun	葡萄籽	初 3-總複習	องุ่น
เครื่องปั่นน้ำผลไม้	khreuang pan nam phonlamai	果汁機	初 3-總複習	ผล
ผลไม้	pon la mai	水果	初 4-1	ผล
คุณชอบกินผลไม้อะไรที่สุด	koon chawp gin pon la mai arai tee soot	你最喜歡吃什麼水果	初 4-1	ผล
คุณเอาน้ำผลไม้ไหม	koon ao naam pon la mai mai	你要果汁嗎	初 4-1	ผล
ต้นไม้	dton mai	樹	初 4-1	ต้น
นี่ต้นอะไร	nee dton arai	這是什麼樹	初 4-1	ต้น
นี่ต้นทุเรียน	nee dton too rian	這是榴槤樹	初 4-1	ต้น
นี่ต้นมะม่วง	nee dton ma muang	這是芒果樹	初 4-1	ต้น, ม่วง
นี่ต้นเงาะ	nee dton ngoh	這是紅毛丹樹	初 4-1	ต้น, เงาะ
ปลูกต้นไม้	bplook dton mai	種樹	初 4-1	ต้น
เม็ดองุ่น	met a ngoon	葡萄籽	初 4-1	องุ่น
องุ่นไม่มีเม็ด	a ngoon mai mee met	無籽葡萄	初 4-1	องุ่น
เม็ดกาแฟยี่ห้อนี้หอมมาก	met gaa fae yee haw nee hawm maak	這牌子咖啡豆很香	初 4-1	ม
สวน	suan	園	初 4-1	สวน
สวนผัก	suan pak	菜園	初 4-1	สวน
สวนดอกไม้	suan dawk mai	花園	初 4-1	สวน
สวนผลไม้	suan pon la mai	果園	初 4-1	ผล, สวน
สวนสนุก	suan sa nook	遊樂園	初 4-1	สวน
เคยไปสวนสนุกตอนเด็ก	koey bpai suan sa nook dtawn dek	小時候去過遊樂園	初 4-1	สวน
ทั้งทุเรียนและมังคุดเป็นผลไม้ของไทย	tang too rian lae mang koot bpen pon la mai kawng tai	榴槤和山竹都是泰國水果	初 4-1	ผล
ส่วนใหญ่	suan yai	大部分	初 4-1	ส่วน
คนส่วนใหญ่ชอบสีอะไร	kon suan yai chawp see arai	大部分人喜歡什麼顏色	初 4-1	ส่วน
ส่วนใหญ่เสาร์อาทิตย์ไปเที่ยวที่ไหน	suan yai sao aa tit bpai tiao tee nai	週六日大部分去哪玩	初 4-1	ส่วน
ขวดแรก	kuat raek	第一瓶	初 4-1	ขวด
ทำงานบริษัทเดียวกัน	tam ngaan baw ri sat diao gan	同一間公司工作	初 4-1	บริ
พวกเราเรียนต่อ	phuak rao rian tor	我們繼續上課	初 4-1	พวก
ทำหน้าอก	tham na ok	做胸部	初 4-1	อก
ทำสวน	tham suan	做園藝	初 4-1	สวน
ทำพาสปอร์ตหาย	tham passport hai	弄丟護照	初 4-1	สปอร์ต
做เป็นเข้าใจ	tham pen khao jai	裝作懂了	初 4-1	做
做ความสะอาด	tham khwam sa at	打掃	初 4-1	做
ทำสกปรก	tham sokkaprok	弄髒	初 4-1	ปรก, สก
เงินสกปรก	ngoen sokkaprok	髒錢	初 4-1	ปรก, สก
พวกเราเรียนต่อ	phuak rao rian tor	我們繼續上課	初 4-1	พวก
ทำหน้าอก	tham na ok	做胸部	初 4-1	อก
ทำสวน	tham suan	做園藝	初 4-1	สวน
ทำพาสปอร์ตหาย	tham passport hai	弄丟護照	初 4-1	สปอร์ต
ทำสกปรก	tham sokkaprok	弄髒	初 4-1	ปรก, สก
เงินสกปรก	ngoen sokkaprok	髒錢	初 4-1	ปรก, สก
เรียนจบหรือยัง	rian jop rue yang	畢業了沒？	初 4-1	จบ
พูดจบหรือยัง	phut jop rue yang	說完了沒？	初 4-1	จบ
พูดถึงละครไทย	phut thueng lakhon thai	提到泰劇	初 4-1	คร
กินเลี้ยงบริษัท	Kin liang borisat	公司聚餐（如尾牙）	初 4-1	บริ
ข้างนอกฝนตกหนัก ทำยังไงดี	khang nok fon tok nak tham yang ngai di	外面下大雨該怎麼辦	初 4-2	ฝน
ฝนหยุดหรือยัง	fon yut rue yang	雨停了沒	初 4-2	ฝน
เรียนจบหรือยัง	rian chop rue yang	畢業了沒	初 4-2	จบ
ลูกคุณเรียนจบหรือยัง	luk khun rian chop rue yang	你的孩子畢業了沒	初 4-2	จบ
พูดจบหรือยัง	phut chop rue yang	說完了沒	初 4-2	จบ
คุณพูดจบหรือยัง	khun phut chop rue yang	你說完了沒	初 4-2	จบ
ละครจบแล้ว	lakhon chop laeo	連續劇結束了	初 4-2	คร, จบ
แม่กำลังจะออกไปข้างนอกซื้อผลไม้	mae kam lang cha ok pai khang nok bue phon la mai	媽媽正要出去外面買水果	初 4-2	ผล
คนอีสานส่วนใหญ่ทำนาปลูกข้าว	Khon Isan Suan Yai Tham Na Pluk Khao	東北部的人大部分種田、種稻	初 4-2	ส่วน
พวกเราไปทำบุญกัน	Phuak Rao Pai Tham Bun Kan	我們一起去做功德	初 4-2	พวก
ชาติหน้า	Chat Na	下輩子	初 4-2	ชาติ
ชาติหน้าเจอกันอีก	Chat Na Choe Kan Ik	下輩子再見	初 4-2	ชาติ
พาสปอร์ตหาย	Passport Hai	護照不見了	初 4-2	สปอร์ต
หายปวด หายเจ็บ	Hai Puat Hai Chep	疼痛的感覺消失了	初 4-2	ปวด
สกปรก	Sokkaprok	髒	初 4-2	ปรก, สก
ใครทำสกปรก	Khrai Tham Sokkaprok	誰弄髒的？	初 4-2	ปรก, สก
ทำไมสกปรกอย่างนี้	Thammai Sokkaprok Yang Ni	為什麼這麼髒？	初 4-2	ปรก, สก
ส่งผิดโต๊ะ	Song Phit To	送錯桌	初 4-2	ส่ง
เพราะ	phro	好聽	初 4-2	เพราะ
เพลงนี้เพราะ	phleng ni phro	這首歌好聽	初 4-2	เพราะ
เพลงนี้เพราะใครร้อง	phleng ni phro khrai rong	這首歌好聽，誰唱的？	初 4-2	เพราะ
ชาติ	chat	國家/國籍	初 4-2	ชาติ
เพลงชาติ	phleng chat	國歌	初 4-2	ชาติ
ร้องเพลงชาติ	rong phleng chat	唱國歌	初 4-2	ชาติ
บอกความจริง	bok khwam ching	說真相	初 4-2	จริง
จริง	ching	真的	初 4-2	จริง
บอกความจริงฉัน	bok khwam ching chan	告訴我真相	初 4-2	จริง
ไม่บอกความจริง	mai bok khwam ching	不說真相	初 4-2	จริง
ฟังดนตรี	fang dontri	聽音樂	初 4-2	ดน
ดนตรี	dontri	音樂	初 4-2	ดน
ดนตรีไทย	dontri thai	泰國音樂	初 4-2	ดน
ดนตรีจีน	dontri chin	中國音樂	初 4-2	ดน
ดนตรีฝรั่ง	dontri farang	西方音樂	初 4-2	ดน, ฝรั่ง
พริกป่น	phrik pon	辣椒粉	初 4-2	ป่น
ใส่พริกป่น	sai phrik pon	加辣椒粉	初 4-2	ป่น
พริกไทยป่น	phrik thai pon	胡椒粉	初 4-2	ป่น
น้ำตาลทราย	nam tan sai	砂糖	初 4-2	ทราย
นมข้น	nom khon	煉乳	初 4-2	ข้น
ต้นหอม	ton hom	蔥	初 4-2	ต้น
ไม่เอาต้นหอม	mai ao ton hom	不要蔥	初 4-2	ต้น
ไม่ใส่ต้นหอม	mai sai ton hom	不加蔥	初 4-2	ต้น
เปิดพัดลม	poet phat lom	開電風扇	初 4-2	ลม
ปิดพัดลม	pit phat lom	關電風扇	初 4-2	ลม
ใส่หมวก	sai muak	戴帽子	初 4-2	หมวก
หมวก	muak	帽子	初 4-2	หมวก
หมวกสีเขียว	muak si khiao	綠色帽子	初 4-2	หมวก
ถอดหมวก	thot muak	脫帽子	初 4-2	หมวก
หน้ากากอนามัย	nakak anamai	口罩（正式）	初 4-2	อนา
อนามัย	anamai	衛生	初 4-2	อนา
ถุงยางอนามัย	thung yang anamai	保險套（正式）	初 4-2	อนา
พวกเราไปร้องคาราโอเกะกัน	Phuak rao pai rong kharaoke kan	我們一起去唱卡拉OK吧	初 4-3	พวก
เพลงฝรั่ง	Pheng farang	英文歌（西方歌）	初 4-3	ฝรั่ง
เพราะ	Phraw	好聽	初 4-3	เพราะ
เพลงนี้เพราะมาก	Pheng ni phraw mak	這首歌很好聽	初 4-3	เพราะ
เสียงเขาเพราะมาก	Siang khao phraw mak	他的聲音很好聽	初 4-3	เพราะ
ดนตรี	Dontri	音樂	初 4-3	ดน
พี่ชายเล่นดนตรีเก่งมาก	Phi chai len dontri keng mak	哥哥很會玩音樂	初 4-3	ดน
ดนตรีทำให้น้องชายแฮปปี้	Dontri thammai nong chai happy	音樂讓弟弟很快樂	初 4-3	ดน
บอกความจริง	bok kwam jing	說真相（實話）	初 4-3	จริง
บอกความจริงเขาดีกว่า	bok kwam jing kao di kwa	告訴他真相比較好	初 4-3	จริง
ทำไมไม่บอกความจริง	tam mai mai bok kwam jing	為什麼不說真相	初 4-3	จริง
เปิดพัดลมได้ไหม	perd pat lom dai mai	可以開電風扇嗎	初 4-3	ลม
เดือนตุลาคม	deuan tu la kom	十月	初 4-3	คม
เดือนเมษายน	deuan me sa yon	四月	初 4-3	ยน
สกปรก	sokkaprok	髒	初 4-3	ปรก, สก
ไม่ใส่น้ำตาลทราย	mai sai namtansai	不加砂糖	初 4-3	ทราย
ใส่แต่นมข้น	sai tae nomkhon	只加煉乳	初 4-3	ข้น
ถอดหมวก	thot muak	脫帽子	初 4-3	หมวก
หน้ากากอนามัย	nakak anamai	口罩	初 4-3	อนา
อนามัย	anamai	衛生	初 4-3	อนา
ออกไปข้างนอกต้องใส่หน้ากากอนามัย	awk pai khangnawk tong sai nakak anamai	出去外面必須戴口罩	初 4-3	อนา
เพราะว่าตื่นสาย	phraw wa tuen sai	因為晚起	初 4-3	เพราะ
ใช้แอปเรียกแท็กซี่	chai app riak taxi	使用App叫計程車	初 4-3	ป
ถ่ายละคร	thae lakhon	拍戲（劇）	初 4-3	คร
เพิ่งเรียนจบ	perng rian jop	剛畢業	初 4-4	จบ
พวกเรานั่งตุ๊กตุ๊กดีกว่า	phuak rao nang tuk tuk di kwa	我們坐嘟嘟車吧	初 4-4	พวก
ถ่ายละคร	tai lakhon	拍戲	初 4-4	คร
ไปดูดาราถ่ายละคร	pai du dara tai lakhon	去看明星拍戲	初 4-4	คร
สวัสดีค่ะ ฉันอยากจองที่นั่งค่ะ	sawadee kha chan yak jong thi nang kha	你好，我想訂位	初 4-4	สวัส
จะจองวันไหนคะ	ja jong wan nai kha	要訂哪一天？	初 4-4	น
จองเวลานวด	jong wela nuat	預約按摩時間	初 4-4	นวด
มีข่าวดี	mi khao di	有好消息	初 4-4	วดี
ลืมหมดแล้ว	luem mot laeo	全都忘光了	初 4-4	หมด
แบตหมด	baet mot	沒電了	初 4-4	หมด
ขายหมดแล้ว	khai mot laeo	賣光了	初 4-4	หมด
เห็นแล้วจะอ้วก	hen laeo ja uak	看了想吐	初 4-4	วจะ, อ้วก
อ้วก	uak	吐	初 4-4	อ้วก
เติมลม	toem lom	打氣	初 4-4	ลม
บัตรเติมเงิน	bat toem ngoen	儲值卡	初 4-4	บัตร
บัตร	bat	卡	初 4-4	บัตร
บัตรแรบบิท	bat rabbit	兔兔卡（Rabbit Card）	初 4-4	ท, บ, บัตร
บัตรเครดิต	bat credit	信用卡	初 4-4	บัตร
ใช้บัตรเครดิตได้มั้ย	chai bat credit dai mai	可以用信用卡嗎？	初 4-4	บัตร
บัตรนักเรียน	bat nak rian	學生證	初 4-4	บัตร
สถานีชิดลม	sathani chit lom	奇隆站	初 4-4	ลม
ทิ้งขยะ	thing khaya	丟垃圾	初 4-4	ขยะ
ขยะ	khaya	垃圾	初 4-4	ขยะ
ถังขยะ	thang khaya	垃圾桶	初 4-4	ขยะ
สวัสดีปีใหม่	sawatdee pi mai	新年快樂	初 4-4	สวัส
สวัสดีค่ะ	sawatdee kha	你好	初 4-5	สวัส
สวัสดีปีใหม่	sawatdee pee mai	新年快樂	初 4-5	สวัส
เพราะเงินเยอะก็เลยยอมทำโอที	phraw ngern yoe kor loey yorm tham OT	因為錢多，所以願意加班	初 4-5	เพราะ
ไม่ยอมพูดความจริง	mai yorm phood khwam jing	不肯說真相	初 4-5	จริง
ข่าวจริง	khao jing	真新聞	初 4-5	จริง
ข่าวจริงหรือข่าวปลอม	khao jing rue khao plom	真新聞還是假新聞	初 4-5	จริง
ฉันมีข่าวดีจะบอกคุณ	chan mee khao dee ja bok khun	我有好消息要告訴你	初 4-5	วดี
