泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
1:00ทุ่ม	1:00 thum	1:00 tumˋ	晚上七點 (19:00)	engine-auto	
2:00ทุ่ม	2:00 thum	2:00 tumˋ	晚上八點 (20:00)	engine-auto	
3:00ทุ่ม	3:00 thum	3:00 tumˋ	晚上九點 (21:00)	engine-auto	
4:00ทุ่ม	4:00 thum	4:00 tumˋ	晚上十點 (22:00)	engine-auto	
5:00ทุ่ม	5:00 thum	5:00 tumˋ	晚上十一點 (23:00)	engine-auto	
จองนวดกี่โมง	jong nuat gi mong	jɔ̄ng nūatˋ gīˇ mōng	預約按摩幾點	engine-auto	
จองนวด1:00ทุ่ม	jong nuat 1:00 thum	jɔ̄ng nūatˋ1:00 tumˋ	預約按摩七點	engine-auto	
จองนวด3:00ทุ่ม	jong nuat 3:00 thum	jɔ̄ng nūatˋ3:00 tumˋ	預約按摩九點	engine-auto	
เมื่อคืนกลับบ้าน1:00ทุ่ม	muea khuen glap ban 1:00 thum	mɯ̄aˋ kɯ̄n glapˇ bhānˋ1:00 tumˋ	昨晚七點回家	engine-auto	
เมื่อคืนนี้กลับบ้าน5:00ทุ่มครึ่ง	muea khuen nii glap ban 5:00 thum krueng	mɯ̄aˋ kɯ̄n nī~ glapˇ bhānˋ5:00 tumˋ krɯngˋ	昨晚十一點半回家	engine-auto	
เครื่องบินออก1:00	khrueng bin ok 1:00	krɯ̄angˋ bhin ɔ̄kˇ1:00	飛機凌晨一點起飛	engine-auto	
เครื่องบินออก4:00	khrueng bin ok 4:00	krɯ̄angˋ bhin ɔ̄kˇ4:00	飛機凌晨四點起飛	engine-auto	
เครื่องบินลง5:00	khrueng bin long 5:00	krɯ̄angˋ bhin long5:00	飛機凌晨五點降落	engine-auto	
เครื่องบินลง6:00เช้า	khrueng bin long 6:00 chao	krɯ̄angˋ bhin long6:00 chāu~	飛機早上六點降落	engine-auto	
11:36นาที	11:36 nati	11:36 nā tī	十一點三十六分	engine-auto	
11:00นาฬิกา36นาที	11:00 nalika 36 nati	11:00 nā li~ gā36 nā tī	十一點三十六分	engine-auto	
11:00นาฬิกา36นาที	11:00 nalika 36 nati	11:00 nā li~ gā36 nā tī	十一點三十六分	engine-auto	
6:42นาที	6:42 nati	6:42 nā tī	六點四十二分	engine-auto	
18:00นาฬิกา42นาที	18:00 nalika 42 nati	18:00 nā li~ gā42 nā tī	18:42	engine-auto	
21:00นาฬิกา19นาที	21:00 nalika 19 nati	21:00 nā li~ gā19 nā tī	21:19	engine-auto	
อยู่เมืองไทย2ปีครึ่ง	yuu mueang thai 2 pii krueng	yūˋ mɯ̄ang tai2 bī krɯngˋ	住在泰國兩年半	engine-auto	
ประมาณบ่าย4-5โมง	praman bai 4-5 mong	braˇ mān bhāiˇ4-5 mōng	大約下午四五點	engine-auto	
ประมาณ12คน	praman 12 khon	braˇ mān12 kon	大約十二個人	engine-auto	
ร้านปิดประมาณ3:00ทุ่ม	ran pit praman 3:00 thum	rān~ bitˇ braˇ mān3:00 tumˋ	商店大約九點關門	engine-auto	
ประมาณ5-6ล้าน	praman 5-6 lan	braˇ mān5-6 lān~	大約五六百萬	engine-auto	
ประมาณ5-6ล้านก็ซื้อได้แล้ว	praman 5-6 lan ko sue dai laeo	braˇ mān5-6 lān~ gɔ̄ˋ sɯ̄~ dhaiˋ lɛ̄u~	大約五六百萬就買得到了	engine-auto	
เกือบ3:00	kueap 3:00	gɯ̄apˇ3:00	幾乎凌晨三點了	engine-auto	
เกือบ3:00ทำไมไม่นอน	kueap 3:00 thammai mai non	gɯ̄apˇ3:00 tam mai maiˋ nɔ̄n	幾乎凌晨三點了，為什麼不睡覺呢	engine-auto	
เกือบ9:00เช้าแล้ว	kueap 9:00 chao laeo	gɯ̄apˇ9:00 chāu~ lɛ̄u~	幾乎早上九點了	engine-auto	
เกือบ2:30โมงครึ่ง	kueap 2:30 mong krueng	gɯ̄apˇ2:30 mōng krɯngˋ	幾乎下午兩點半了	engine-auto	
เกือบ5:00ทุ่มแล้ว	kueap 5:00 thum laeo	gɯ̄apˇ5:00 tumˋ lɛ̄u~	幾乎十一點了	engine-auto	
ฝนตกทั้งวัน	fon tok thang wan	fonˊ dokˇ tang~ wan	整天都下雨	derived	
ปวดท้องทั้งคืน	puat thong thang khuen	būatˇ tɔ̄ng~ tang~ kɯ̄n	整晚肚子痛	engine-auto	
ผลไม้	phon la mai	ponˊ mai~	水果	derived	
มีผลไม้หลายอย่าง	mii phon la mai lai yang	mī ponˊ mai~ lāiˊ yāngˋ	有很多種水果	derived	
มะม่วง	ma muang	ma~ mūangˋ	芒果	engine-auto	
ข้าวเหนียวมะม่วง	khao niaw ma muang	kāuˋ nīauˊ ma~ mūangˋ	芒果糯米飯	engine-auto	
มะม่วงน้ำปลาหวาน	ma muang nam pla wan	ma~ mūangˋ nām~ blā wānˊ	芒果魚露醬	engine-auto	
สับปะรด	sapparot	sapˇ baˇ rot~	鳳梨	derived	
ชอบกินสับปะรดหรือเปล่า	chop kin sapparot rue plao	chɔ̄pˋ gin sapˇ baˇ rot~ rɯ̄ˊ blāuˇ	喜歡吃鳳梨嗎	derived	
น้ำสับปะรด	nam sapparot	nām~ sapˇ baˇ rot~	鳳梨汁	derived	
ข้าวผัดสับปะรด	khao phat sapparot	kāuˋ patˇ sapˇ baˇ rot~	鳳梨炒飯	derived	
น้ำส้มคั้น2แก้ว	nam som khan 2 kaew	nām~ somˋ kan~2 gɛ̄uˋ	兩杯鮮榨橙汁	engine-auto	
องุ่น	angun	aˇ ngunˋ	葡萄	derived	
องุ่นสีม่วง	angun si muang	aˇ ngunˋ sīˊ mūangˋ	紫色葡萄	derived	
เหล้าองุ่น	lao angun	lāuˋ aˇ ngunˋ	葡萄酒	derived	
ชอบกินเหล้าองุ่นไหมคะ	chop kin lao angun mai kha	chɔ̄pˋ gin lāuˋ aˇ ngunˋ maiˊ ka~	喜歡喝葡萄酒嗎	derived	
น้ำองุ่น	nam angun	nām~ aˇ ngunˋ	葡萄汁	derived	
ฝรั่ง	farang	faˇ rangˋ	芭樂	derived	
ฝรั่งมี2อย่าง	farang mii 2 yang	faˇ rangˋ mī2 yāngˋ	芭樂有兩種意思	derived	
ฝรั่งกินฝรั่ง	farang kin farang	faˇ rangˋ gin faˇ rangˋ	芭樂吃芭樂	derived	
ชมพู่	chomphu	chom pūˋ	蓮霧	derived	
ชมพู่สีชมพู	chomphu si chomphu	chom pūˋ sīˊ chom pū	粉紅色蓮霧	derived	
มังคุดสีม่วง	mangkut si muang	mang kut~ sīˊ mūangˋ	紫色山竹	engine-auto	
มะม่วงอบแห้ง	ma muang op haeng	ma~ mūangˋ opˇ hɛ̄ngˋ	烤乾芒果	engine-auto	
ขนุน	khanun	kaˇ nun	菠蘿蜜	derived	
ขนุนอบแห้ง	khanun op haeng	kaˇ nun opˇ hɛ̄ngˋ	烤乾菠蘿蜜	derived	
เงาะ	ngo	ngɔ~	紅毛丹	engine-auto	
เงาะกระป๋อง	ngo krapong	ngɔ~ graˇ bɔ̄ngˊ	罐裝紅毛丹	engine-auto	
แก้วมังกร	kaew mangkon	gɛ̄uˋ mang gɔ̄n	火龍果	derived	
มังกร	mangkon	mang gɔ̄n	龍	derived	
กุ้งมังกร	kung mangkon	gungˋ mang gɔ̄n	龍蝦	derived	
สตรอว์เบอร์รี่	strawberry	saˇ rɔ̄ bhə̄ rīˋ	草莓	derived	
มะยงชิด	ma yong chit	ma~ yong chit~	蠟黃皮/黃色山竹果	derived	
มะม่วงกวน	ma muang kuan	ma~ mūangˋ gūan	芒果乾	derived	
ผลไม้	phonlamai	ponˊ mai~	水果	derived	
ชอบกินผลไม้อะไร	chop kin phonlamai arai	chɔ̄pˋ gin ponˊ mai~ aˇ rai	喜歡吃什麼水果？	derived	
ชอบกินผลไม้อะไรที่สุด	chop kin phonlamai arai thi sut	chɔ̄pˋ gin ponˊ mai~ aˇ rai tīˋ sutˇ	最喜歡吃什麼水果？	derived	
ชอบกินมะม่วงที่สุด	chop kin mamuang thi sut	chɔ̄pˋ gin ma~ mūangˋ tīˋ sutˇ	最喜歡吃芒果	engine-auto	
พวกคุณชอบกินผลไม้อะไรที่สุด	phuak khun chop kin phonlamai arai thi sut	pūakˋ kun chɔ̄pˋ gin ponˊ mai~ aˇ rai tīˋ sutˇ	你們最喜歡吃什麼水果？	derived	
ข้าวเหนียวมะม่วง	khao niao mamuang	kāuˋ nīauˊ ma~ mūangˋ	芒果糯米	engine-auto	
ข้าวเหนียวมะม่วงอร่อย	khao niao mamuang aroi	kāuˋ nīauˊ ma~ mūangˋ aˇ rɔ̄iˋ	芒果糯米很好吃	engine-auto	
ยิ่งกินยิ่งอ้วน	ying kin ying uan	yingˋ gin yingˋ ūanˋ	越吃越胖	engine-auto	
เอาน้ํามะนาว1แก้ว	ao nam manao nueng kaew	au nam~ ma~ nāu1 gɛ̄uˋ	我要一杯檸檬汁	engine-auto	
ชิ้นละ10บาท	chin la sip baht	chin~ la~10 bhātˇ	一塊十泰銖	engine-auto	
สับปะรด	sapparot	sapˇ baˇ rot~	鳳梨	derived	
สับปะรดลูกเล็ก	sapparot luk lek	sapˇ baˇ rot~ lūkˋ lek~	小顆的鳳梨	derived	
สับปะรดลูกเล็กแต่หวาน	sapparot luk lek tae wan	sapˇ baˇ rot~ lūkˋ lek~ dɛ̄ˇ wānˊ	小顆的鳳梨但是很甜	derived	
สับปะรดถุงละเท่าไหร่	sapparot thung la thao rai	sapˇ baˇ rot~ tungˊ la~ tāuˋ raiˇ	一袋鳳梨多少錢？	derived	
เมื่อวานผมกินน้ําส้มคั้นหลายขวด	muea wan phom kin nam som khan lai khuad	mɯ̄aˋ wān pomˊ gin nam~ somˋ kan~ lāiˊ kūatˇ	昨天我喝了好幾瓶現榨橘子汁	derived	
องุ่น	ongun	aˇ ngunˋ	葡萄	derived	
คุณชอบกินองุ่นสีอะไร	khun chop kin ongun si arai	kun chɔ̄pˋ gin aˇ ngunˋ sīˊ aˇ rai	你喜歡吃什麼顏色的葡萄？	derived	
ฝรั่ง	farang	faˇ rangˋ	芭樂/番石榴	derived	
ฝรั่งกิโลละเท่าไหร่	farang kilo la thao rai	faˇ rangˋ giˇ lō la~ tāuˋ raiˇ	芭樂一公斤多少錢？	derived	
ฝรั่ง	farang	faˇ rangˋ	外國人	derived	
ฝรั่งชอบไปเที่ยววัดพระแก้ว	farang chop pai thiao wat phra kae-o	faˇ rangˋ chɔ̄pˋ bai tīauˋ wat~ pra~ gɛ̄uˋ	外國人喜歡去玉佛寺觀光	derived	
ชมพู่	chomphu	chom pūˋ	蓮霧	derived	
ชมพู่สีเขียวหวานกว่า	chomphu si khiao wan kwa	chom pūˋ sīˊ kīauˊ wānˊ gwāˇ	綠色蓮霧比較甜	derived	
ทุกปีทุเรียนไทยส่งออกประมาณแสนล้านบาท	thuk pi thurian thai song ok praman saen lan baht	tuk~ bī tu~ rīan tai songˇ ɔ̄kˇ braˇ mān sɛ̄nˊ lān~ bhātˇ	每年泰國榴槤出口約十億泰銖。	derived	
ขนุน	khanun	kaˇ nun	波羅蜜	derived	
ภาคใต้ของไต้หวันก็มีขนุน	phak tai khong taiwan ko mi khanun	pākˋ daiˋ kɔ̄ngˊ daiˋ wanˊ gɔ̄ˋ mī kaˇ nun	臺灣南部也有波羅蜜。	derived	
เงาะ	ngo	ngɔ~	紅毛丹	engine-auto	
เสียดายไต้หวันไม่มีเงาะขาย	sia dai taiwan mai mi ngo khai	sīaˊ dhāi daiˋ wanˊ maiˋ mī ngɔ~ kāiˊ	可惜臺灣沒有紅毛丹販售。	engine-auto	
แก้วมังกร	kaeo mangkon	gɛ̄uˋ mang gɔ̄n	火龍果	derived	
เขาเกิดปีมังกร	khao koet pi mangkon	kāuˊ gə̄tˇ bī mang gɔ̄n	他是屬龍的	derived	
กุ้งมังกรตัวใหญ่แพงไหม	kung mangkon tua yai phaeng mai	gungˋ mang gɔ̄n dūa yaiˇ pɛ̄ng maiˊ	大隻龍蝦貴嗎？	derived	
ขนุนอบแห้ง	khanun op haeng	kaˇ nun opˇ hɛ̄ngˋ	波羅蜜乾	derived	
มะม่วงอบแห้ง	mamuang op haeng	ma~ mūangˋ opˇ hɛ̄ngˋ	芒果乾	engine-auto	
ถนนสายนี้	thanon sai ni	taˇ non sāiˊ nī~	這條馬路	derived	
ถนนสายนี้ยาวมาก	thanon sai ni yao mak	taˇ non sāiˊ nī~ yāu mākˋ	這條馬路很長	derived	
ต้นไม้	ton mai	donˋ mai~	樹	derived	
ต้นไม้	ton mai	donˋ mai~	樹木	derived	
สองข้างทางมีต้นไม้เยอะ	song khang thang mi ton mai yoe	sɔ̄ngˊ kāngˋ tāng mī donˋ mai~ yə~	兩邊有很多樹	derived	
วันลอยกระทง	wan loi krathong	wan lɔ̄i graˇ tong	水燈節	derived	
กระทง	krathong	graˇ tong	水燈	derived	
ใช้ใบตองทำกระทง	chai bai tong tham krathong	chai~ bhai dɔ̄ng tam graˇ tong	使用香蕉葉做水燈	derived	
เปลือกสับปะรด	plueak sapparot	blɯ̄akˇ sapˇ baˇ rot~	鳳梨皮	derived	
ต้นมะพร้าว	ton maphrao	donˋ ma~ prāu~	椰子樹	derived	
ต้นมะม่วง	ton mamuang	donˋ ma~ mūangˋ	芒果樹	derived	
ต้นมะละกอ	ton malako	donˋ ma~ la~ gɔ̄	木瓜樹	derived	
ต้นกล้วย	ton kluai	donˋ glūayˋ	香蕉樹	derived	
ต้นนี้ต้นอะไร	ton ni ton arai	donˋ nī~ donˋ aˇ rai	這是什麼樹	derived	
สังขยาใบเตย	sangkaya bai toei	sangˊ kaˇ yāˊ bhai də̄i	香蘭葉醬	derived	
ปลูกต้นไม้	pluk ton mai	blūkˇ donˋ mai~	種樹	derived	
เมล็ดแตงโม	malet taeng mo	ma~ let~ dɛ̄ng mō	西瓜籽	derived	
เมล็ดองุ่น	malet ongun	ma~ let~ aˇ ngunˋ	葡萄籽	derived	
ไม่มีเมล็ด	mai mi malet	maiˋ mī ma~ let~	沒有籽	derived	
เมล็ดกาแฟ	malet kafae	ma~ let~ gā fɛ̄	咖啡豆	derived	
มะม่วงปั่น	mamuang pan	ma~ mūangˋ banˇ	芒果冰沙	engine-auto	
สับปะรดปั่น	sapparot pan	sapˇ baˇ rot~ banˇ	鳳梨冰沙	derived	
ทั้งหมด	thang mot	tang~ motˇ	全部	derived	
มีสวนลำไย	mi suan lamyai	mī sūanˊ lam yai	有龍眼園	engine-auto	
สวน	suan	sūanˊ	果園/菜園	engine-auto	
มีสวนลำไยเยอะ	mi suan lamyai yoe	mī sūanˊ lam yai yə~	有很多龍眼園	engine-auto	
มีสวนลิ้นจี่เยอะ	mi suan linji yoe	mī sūanˊ lin~ jīˇ yə~	有很多荔枝園	engine-auto	
เกาะ	ko	gɔˇ	龜	engine-auto	
เกาะสมุย	ko samui	gɔˇ saˇ mui	蘇美島	derived	
เกาะสมุยอยู่ภาคใต้	ko samui yu phak tai	gɔˇ saˇ mui yūˋ pākˋ daiˋ	蘇美島位於南部	derived	
สี่จังหวัดภาคใต้มีมุสลิมเยอะ	si changwat phak tai mi muslim yoe	sīˇ jang watˇ pākˋ daiˋ mī mu~ saˇ lim yə~	南部有四個府有很多穆斯林	derived	
มุสลิม	muslim	mu~ saˇ lim	穆斯林	derived	
จังหวัดสงขลา	changwat songkhla	jang watˇ songˊ klāˊ	宋卡府	derived	
อยุธยา	ayutthaya	aˇ yu~ ta~ yā	大城	derived	
อยุธยาอยู่ภาคกลาง	ayutthaya yu phak klang	aˇ yu~ ta~ yā yūˋ pākˋ glāng	大城位於中部	derived	
เกาะช้าง	ko chang	gɔˇ chāng~	象島	engine-auto	
ชลบุรี	chonburi	chon bhuˇ rī	春武里府	derived	
ส่วนใหญ่	suan yai	sūanˇ yaiˇ	大部分	engine-auto	
คนไทยส่วนใหญ่	khon thai suan yai	kon tai sūanˇ yaiˇ	泰國人大部分	engine-auto	
ชาวพุทธ	chao phut	chāu put~	佛教徒	derived	
คนไทยส่วนใหญ่เป็นชาวพุทธ	khon thai suan yai pen chao phut	kon tai sūanˇ yaiˇ ben chāu put~	泰國人大部分是佛教徒	derived	
ส่วนใหญ่ทำอะไร	suan yai tham arai	sūanˇ yaiˇ tam aˇ rai	大部分做什麼	engine-auto	
ส่วนใหญ่ไปไหน	suan yai pai nai	sūanˇ yaiˇ bai naiˊ	大部分要去哪裡	engine-auto	
ทำงานบริษัทเดียวกัน	thamngan borisat diaokan	tam ngān bhɔ̄ ri~ satˇ dhīau gan	在同一家公司工作	derived	
ในตู้เย็นมีน้ำสองขวด	nai dtoo yen mee naam sawng kuat	nai dūˋ yen mī nām~ sɔ̄ngˊ kūatˇ	冰箱裡有兩瓶水	derived	
ร้านนวดอยู่ข้างๆ เซเว่น	raan nuat yoo kaang kaang say wen	rān~ nūatˋ yūˋ kāngˋ kāngˋ sē wēnˋ	按摩店在 7-11 旁邊	engine-auto	
ในตู้เย็นมีน้ำสองขวด	nai dtoo yen mee naam sawng kuat	nai dūˋ yen mī nām~ sɔ̄ngˊ kūatˇ	冰箱裡有兩瓶水	derived	
ร้านนวดอยู่ข้างๆ เซเว่น	raan nuat yoo kaang kaang say wen	rān~ nūatˋ yūˋ kāngˋ kāngˋ sē wēnˋ	按摩店在 7-11 旁邊	engine-auto	
ภาคกลางมีทั้งหมด 21 จังหวัด	paak glaang mee tang mot yee sip et jang wat	pākˋ glāng mī tang~ motˇ 21 jang watˇ	中部總共有 21 個府	derived	
คนอีสานส่วนใหญ่ชอบกินข้าวเหนียว	kon ee saan suan yai chawp gin kaao niao	kon ī sānˊ sūanˇ yaiˇ chɔ̄pˋ gin kāuˋ nīauˊ	大部分東北部人喜歡吃糯米飯	engine-auto	
เดินข้ามถนน	dern kaam ta noon	dhə̄n kāmˋ taˇ non	走過馬路	derived	
ช่วยกดชั้น 17 ให้หน่อยค่ะ	chuay got chan sip bjet hai noy ka	chūayˋ gotˇ chan~ 17 haiˋ nɔ̄iˇ kaˋ	請幫我按 17 樓	derived	
วันจันทร์	wan jan	wan jan	星期一	derived	
วันพฤหัสบดี	wan pa reu hat sa bor dee	wan prɯ hatˇ bɔ̄ dhī	星期四（正式）	derived	
วันพฤหัส	wan pa reu hat	wan prɯ hatˇ	星期四（口語）	derived	
ฝนหยุดแล้ว	fon yoot laeo	fonˊ yutˇ lɛ̄u~	雨停了	derived	
วันฝนตกไม่มีแท็กซี่ว่าง	wan fon dtok mai mee taek see waang	wan fonˊ dokˇ maiˋ mī tɛk~ sīˋ wāngˋ	下雨天沒有空計程車	derived	
วันจันทร์หน้าคุณว่างไหม	wan jan na koon waang mai	wan jan nāˋ kun wāngˋ maiˊ	下週一你有空嗎	derived	
ชาติหน้าอยากเป็นหมา	chaat na yaak bpen maa	chātˋ nāˋ yākˋ ben māˊ	下輩子想當狗	derived	
วันศุกร์ที่แล้วเป็นวันลอยกระทง	wan soo tee laeo bpen wan loy gra tong	wan sukˇ tīˋ lɛ̄u~ ben wan lɔ̄i graˇ tong	上個週五是水燈節	derived	
เมื่อวานฝนตก	meua waan fon dtok	mɯ̄aˋ wān fonˊ dokˇ	昨天下雨	derived	
ตอนกลางวันอยู่บริษัท	dtawn glaang wan yoo baw ri sat	dɔ̄n glāng wan yūˋ bhɔ̄ ri~ satˇ	白天在公司	derived	
จะกินผลไม้ปั่นทุกเช้า	ja gin pon la mai bpan took chao	jaˇ gin ponˊ mai~ banˇ tuk~ chāu~	每個早上都要喝水果冰沙	derived	
ถนนทุกสาย รถติด	ta noon took sai rot dtit	taˇ non tuk~ sāiˊ rot~ ditˇ	每條路都塞車	derived	
บางครั้งฝนตก	baang krang fon dtok	bhāng krang~ fonˊ dokˇ	有時候下雨	derived	
吃อะไรบ้าง	gin arai baang	吃 aˇ rai bhāngˋ	吃了些什麼	engine-auto	
做อะไรบ้าง	tam arai baang	做 aˇ rai bhāngˋ	做了些什麼	engine-auto	
กินเบียร์หลายขวดก็ไม่เมา	gin bia laai kuat gor mai mao	gin bhīa lāiˊ kūatˇ gɔ̄ˋ maiˋ māu	喝好幾瓶啤酒也不會醉	derived	
กินข้าวหลายจานแต่ไม่อ้วน	gin kaao laai jaan dtae mai uan	gin kāuˋ lāiˊ jān dɛ̄ˇ maiˋ ūanˋ	吃好幾盤飯但不會胖	engine-auto	
คิดถึงจริงๆ	kit teung jing jing	kit~ tɯngˊ jing jing	真的很想你	derived	
在ห้องเรียน	nai hong rian	在 hɔ̄ngˋ rīan	教室內	engine-auto	
เดินตรงไป 100 เมตร	dern trong pai nueng roi met	dhə̄n drong bai 100 mētˋ	直走一百公尺	derived	
ข้างนอกฝนตก	khang nok fon tok	kāngˋ nɔ̄kˋ fonˊ dokˇ	外面下雨	derived	
ข้ามถนน	kham tanon	kāmˋ taˇ non	過馬路	derived	
เซเว่นอยู่ตรงข้ามสตาร์บัคส์	Seven yu trong kham Starbucks	sē wēnˋ yūˋ drong kāmˋ saˇ dā bhakˇ	7-11在星巴克對面	derived	
ถนนคนเดิน	tanon khon dern	taˇ non kon dhə̄n	徒步區 (夜市)	derived	
在นามีข้าว	nai na mee khao	在 nā mī kāuˋ	田中有稻	engine-auto	
เดินตรงไป เลี้ยวซ้าย แล้วก็ตรงไป ประมาณ 50 เมตร แล้วก็เลี้ยวซ้ายอีกครั้งหนึ่ง แล้วก็เจอแล้ว	dern trong pai liao sai lae ko trong pai praman ha sip met lae ko liao sai eek khrang nueng lae ko joe laeo	dhə̄n drong bai līau~ sāi~ lɛ̄u~ gɔ̄ˋ drong bai braˇ mān 50 mētˋ lɛ̄u~ gɔ̄ˋ līau~ sāi~ īkˇ krang~ nɯngˇ lɛ̄u~ gɔ̄ˋ jə̄ lɛ̄u~	直走左轉再直走約50米再左轉就到了	derived	
ภาษาฝรั่งเศส	pasa farangset	pā sāˊ faˇ rangˋ sētˇ	法文	derived	
วันจันทร์	wan jan	wan jan	星期一	derived	
วันพฤหัสบดี	wan phruehat	wan prɯ hatˇ bɔ̄ dhī	星期四	derived	
วันนี้วันจันทร์	wan nee wan jan	wan nī~ wan jan	今天星期一	derived	
มกราคม	mokkara	mok~ rā kom	一月	derived	
มีนาคม	meena	mī nā kom	三月	derived	
เมษายน	mesa	mē sāˊ yon	四月	derived	
พฤษภาคม	phrueasapha	prɯt~ pā kom	五月	derived	
มิถุนายน	mithuna	mi~ tuˇ nā yon	六月	derived	
กรกฎาคม	karakada	gaˇ ra~ dā kom	七月	derived	
สิงหาคม	singha	singˊ hāˊ kom	八月	derived	
กันยายน	kanya	gan yā yon	九月	derived	
ตุลาคม	tula	duˇ lā kom	十月	derived	
พฤศจิกายน	phrueasajika	prɯt~ jiˇ gā yon	十一月	derived	
ธันวาคม	thanwa	tan wā kom	十二月	derived	
เดือนนี้เดือนธันวาคม	duen nee duen thanwa	dhɯ̄an nī~ dhɯ̄an tan wā kom	這個月是十二月	derived	
เดือนที่แล้วเดือนพฤศจิกายน	duen thi laeo duen phrueasajika	dhɯ̄an tīˋ lɛ̄u~ dhɯ̄an prɯt~ jiˇ gā yon	上個月是十一月	derived	
เดือนหน้าเดือนมกราคม	duen na duen mokkara	dhɯ̄an nāˋ dhɯ̄an mok~ rā kom	下個月是一月	derived	
ถ้าเดือนนี้เดือนเมษายน	tha duen nee duen mesa	tāˋ dhɯ̄an nī~ dhɯ̄an mē sāˊ yon	如果這個月是四月	derived	
สวัสดีปีใหม่	sawatdee pee mai	saˇ watˇ dhī bī maiˇ	新年快樂	derived	
สวัสดีปีใหม่ไทย	sawatdee pee mai Thai	saˇ watˇ dhī bī maiˇ tai	泰國新年快樂（宋干節）	derived	
วันจันทร์นี้	wan jan nee	wan jan nī~	這個星期一	derived	
วันจันทร์ที่แล้ว	wan jan thi laeo	wan jan tīˋ lɛ̄u~	上個星期一	derived	
วันจันทร์หน้า	wan jan na	wan jan nāˋ	下個星期一	derived	
ชาตินี้	chat nee	chātˋ nī~	這一輩子	derived	
ชาติที่แล้ว	chat thi laeo	chātˋ tīˋ lɛ̄u~	前世	derived	
ชาติหน้า	chat na	chātˋ nāˋ	下一輩子	derived	
ต้นเดือน	ton duen	donˋ dhɯ̄an	月初	derived	
ต้นปี	ton pee	donˋ bī	年初	derived	
ต้นปีหน้า	ton pee na	donˋ bī nāˋ	明年初	derived	
ต้นทาง	ton thang	donˋ tāng	起點	derived	
มาเรียนภาษาไทยทุกๆ วันจันทร์	ma rian pasa Thai thuk thuk wan jan	mā rīan pā sāˊ tai tuk~ tuk~ wan jan	每個禮拜一都來學泰文	derived	
ลม	lom	lom	風	derived	
ลมแรง	lom raeng	lom rɛ̄ng	風很大	derived	
ทั้งหมด	thang mot	tang~ motˇ	全部	derived	
ครึ่งขวด	khrueng khuat	krɯngˋ kūatˇ	半瓶	derived	
ผลไม้	phonlamai	ponˊ mai~	水果	derived	
มะพร้าวที่เมืองไทยหวานกว่าที่ไต้หวัน	maphrao thi mueang Thai wan kwa thi Taiwan	ma~ prāu~ tīˋ mɯ̄ang tai wāˊ nok~ wāˋ tīˋ daiˋ wanˊ	泰國椰子比台灣椰子甜	derived	
มะม่วง	mamuang	ma~ mūangˋ	芒果	engine-auto	
ข้าวเหนียวมะม่วง	khao niao mamuang	kāuˋ nīauˊ ma~ mūangˋ	芒果糯米飯	engine-auto	
มะม่วงเบา	mamuang bao	ma~ mūangˋ bhāu	酸芒果	engine-auto	
สับปะรด	sapparot	sapˇ baˇ rot~	鳳梨	derived	
องุ่น	angun	aˇ ngunˋ	葡萄	derived	
ฝรั่ง	farang	faˇ rangˋ	芭樂/洋人	derived	
ฝรั่งกินฝรั่ง	farang kin farang	faˇ rangˋ gin faˇ rangˋ	洋人吃芭樂	derived	
ชมพู่	chomphu	chom pūˋ	蓮霧	derived	
สีชมพู่	si chomphu	sīˊ chom pūˋ	粉紅色	derived	
ขนุน	khanun	kaˇ nun	波羅蜜	derived	
เงาะ	ngo	ngɔ~	紅毛丹	engine-auto	
มังกร	mangkon	mang gɔ̄n	龍果	derived	
แก้วมังกร	kaeo mangkon	gɛ̄uˋ mang gɔ̄n	火龍果	derived	
สตรอว์เบอร์รี่	strawberry	saˇ rɔ̄ bhə̄ rīˋ	草莓	derived	
เงาะกระป๋อง	ngo krapong	ngɔ~ graˇ bɔ̄ngˊ	罐頭紅毛丹	engine-auto	
ต้นไม้	tonmai	donˋ mai~	樹	derived	
สวน	suan	sūanˊ	果園	engine-auto	
สวนลำไย สวนลิ้นจี่	suan lamyai suan linjee	sūanˊ lam yai sūanˊ lin~ jīˇ	龍眼園/荔枝園	engine-auto	
สวนทุเรียน	suan thurian	sūanˊ tu~ rīan	榴槤園	engine-auto	
สวนดอกไม้	suan dokmai	sūanˊ dhɔ̄kˇ mai~	花園	engine-auto	
สวนน้ำ	suan nam	sūanˊ nām~	水上樂園	engine-auto	
สวนสนุก	suan sanuk	sūanˊ saˇ nuk~	遊樂園	engine-auto	
ภูเก็ต พังงา เกาะสมุย	Phuket Phang-nga Ko Samui	pū getˇ pang ngā gɔˇ saˇ mui	普吉島/攀牙/蘇美島	derived	
เกาะ	ko	gɔˇ	島	engine-auto	
เกาะไต้หวัน	ko Taiwan	gɔˇ daiˋ wanˊ	台灣島	engine-auto	
เกาะเสม็ด เกาะช้าง	ko Samet ko Chang	gɔˇ saˇ metˇ gɔˇ chāng~	沙美島/象島	derived	
ชาวมุสลิม	chao Muslim	chāu mu~ saˇ lim	穆斯林	derived	
ชาวพุทธ	chao phut	chāu put~	佛教徒	derived	
อยุธยา	Ayutthaya	aˇ yu~ ta~ yā	大城	derived	
